"Persons in poverty, percent","","7.1%","","4.1%","","6.6%","","10.3%","","6.8%","","13.5%",""
"Total employer establishments, 2021","","X","","X","","X","","X","","X","","X",""
"Total employment, 2021","","X","","X","","X","","X","","X","","X",""
"Total annual payroll, 2021 ($1,000)","","X","","X","","X","","X","","X","","X",""
"Total employment, percent change, 2020-2021","","X","","X","","X","","X","","X","","X",""
"Total nonemployer establishments, 2019","","X","","X","","X","","X","","X","","X",""
"All employer firms, Reference year 2017","","1,141","","2,129","","1,072","","674","","1,694","","8,662",""
"Men-owned employer firms, Reference year 2017","","591","","1,130","","536","","341","","831","","4,686",""
"Women-owned employer firms, Reference year 2017","","234","","441","","146","","154","","S","","1,706",""
"Minority-owned employer firms, Reference year 2017","","261","","777","","S","","230","","600","","3,175",""
"Nonminority-owned employer firms, Reference year 2017","","717","","1,047","","597","","329","","841","","4,139",""
"Veteran-owned employer firms, Reference year 2017","","S","","S","","S","","S","","68","","372",""
"Nonveteran-owned employer firms, Reference year 2017","","858","","1,738","","790","","518","","1,420","","7,094",""
"Population per square mile, 2020","","4,892.3","","4,528.0","","4,325.1","","4,323.2","","7,491.6","","7,878.4",""
"Population per square mile, 2010","","4,688.1","","3,994.7","","3,481.8","","3,674.2","","6,956.3","","7,004.0",""
"Land area in square miles, 2020","","7.08","","18.69","","14.87","","17.68","","10.45","","55.93",""
"Land area in square miles, 2010","","7.07","","18.06","","14.79","","17.22","","10.61","","55.79",""
"FIPS Code","","""0657764""","","""0668378""","","""0608142""","","""0657456""","","""0600562""","","""0653000""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
